Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Team_Worker,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
5,0,6,2,yes,no,information security,testing,poor,poor,programming,testing,BPA,no,Series,Management,smart worker,yes,no,Applications Developer
7,6,4,3,no,yes,shell programming,testing,excellent,medium,Management,system developer,Cloud Services,yes,Autobiographies,Technical,hard worker,no,yes,Applications Developer
2,3,9,1,no,yes,information security,testing,excellent,poor,data engineering,Business process analyst,product development,yes,Travel,Technical,smart worker,no,no,Applications Developer
2,6,3,5,no,yes,r programming,database security,excellent,poor,networks,testing,Testing and Maintainance Services,yes,Guide,Management,smart worker,yes,yes,Applications Developer
2,0,3,4,yes,no,distro making,game development,excellent,medium,Software Engineering,system developer,BPA,no,Health,Technical,hard worker,yes,no,Applications Developer
7,3,5,7,yes,yes,distro making,data science,poor,excellent,cloud computing,security,Cloud Services,no,Journals,Management,hard worker,no,yes,Applications Developer
9,1,9,1,yes,yes,machine learning,system designing,medium,excellent,cloud computing,testing,Cloud Services,no,Anthology,Technical,smart worker,no,yes,Applications Developer
9,0,6,1,no,no,machine learning,hacking,medium,poor,parallel computing,developer,BPA,no,Dictionaries,Technical,smart worker,no,no,Applications Developer
1,1,1,4,yes,yes,full stack,game development,excellent,excellent,programming,Business process analyst,SAaS services,yes,Prayer books,Technical,smart worker,yes,yes,Applications Developer
6,5,4,2,no,yes,machine learning,cloud computing,excellent,poor,networks,system developer,SAaS services,no,Art,Management,hard worker,yes,yes,Applications Developer
6,0,8,9,no,yes,full stack,data science,poor,medium,IOT,developer,Web Services,yes,Journals,Management,hard worker,no,no,Applications Developer
9,6,3,7,yes,no,information security,web technologies,poor,medium,parallel computing,Business process analyst,Finance,no,Encyclopedias,Management,smart worker,yes,no,Applications Developer
4,4,6,5,no,yes,hadoop,hacking,excellent,medium,networks,Business process analyst,Sales and Marketing,no,Religion-Spirituality,Management,smart worker,yes,no,Applications Developer
8,0,9,6,yes,yes,shell programming,cloud computing,poor,poor,Computer Architecture,security,Sales and Marketing,no,Action and Adventure,Management,smart worker,no,no,Applications Developer
1,0,3,4,no,yes,hadoop,cloud computing,medium,medium,Software Engineering,cloud computing,Product based,no,Comics,Management,hard worker,yes,no,Applications Developer
1,0,2,4,yes,no,distro making,database security,poor,poor,Computer Architecture,system developer,Testing and Maintainance Services,yes,Horror,Management,hard worker,yes,yes,Applications Developer
